"{""command"":""apt install capture.cap""","error_message:""Unable to locate package""","error_type:""package_not_found""","root_cause:""Incorrect package name or outdated repository index.""","remediation_steps:""Run apt update and verify the correct package name.""","correct_command:""apt install capture.cap""","tool:""apt""","difficulty:""intermediate""}",,,
"{""command"":""python3 -m http.server hashes.txt""","error_message:""Unable to locate package""","error_type:""package_not_found""","root_cause:""Incorrect package name or outdated repository index.""","remediation_steps:""Run apt update and verify the correct package name.""","correct_command:""python3 -m http.server hashes.txt""","tool:""nikto""","difficulty:""beginner""}",,,
"{""command"":""aircrack-ng capture.cap""","error_message:""cannot open file""","error_type:""file_not_found""","root_cause:""File path is incorrect or file does not exist.""","remediation_steps:""Verify the file path and ensure the file exists.""","correct_command:""aircrack-ng capture.cap""","tool:""wireshark""","difficulty:""intermediate""}",,,
"{""command"":""nmap -sV repo.git""","error_message:""Package has no installation candidate""","error_type:""package_not_found""","root_cause:""Incorrect package name or outdated repository index.""","remediation_steps:""Run apt update and verify the correct package name.""","correct_command:""nmap -sV repo.git""","tool:""sqlmap""","difficulty:""intermediate""}",,,
"{""command"":""python3 -m http.server 10.0.0.5""","error_message:""Unable to locate package""","error_type:""package_not_found""","root_cause:""Incorrect package name or outdated repository index.""","remediation_steps:""Run apt update and verify the correct package name.""","correct_command:""python3 -m http.server 10.0.0.5""","tool:""systemctl""","difficulty:""advanced""}",,,
"{""command"":""ssh repo.git""","error_message:""Failed to start service""","error_type:""service_error""","root_cause:""Service misconfiguration or missing dependency.""","remediation_steps:""Check service configuration and restart the service.""","correct_command:""ssh repo.git""","tool:""wireshark""","difficulty:""advanced""}",,,
"{""command"":""hashcat -m 0 8080 rockyou.txt""","error_message:""E: Could not open lock file \/var\/lib\/apt\/lists\/lock - open (13: Permission denied)""","error_type:""permission_error""","root_cause:""The command requires elevated privileges.""","remediation_steps:""Run the command with sudo or switch to root.""","correct_command:""sudo hashcat -m 0 8080 rockyou.txt""","tool:""john""","difficulty:""intermediate""}",,,
"{""command"":""gobuster dir -u repo.git -w wordlist.txt""","error_message:""Address already in use""","error_type:""port_conflict""","root_cause:""Another process is using the specified port.""","remediation_steps:""Identify the process using the port and terminate it or use another port.""","correct_command:""gobuster dir -u repo.git -w wordlist.txt""","tool:""john""","difficulty:""intermediate""}",,,
"{""command"":""john 192.168.1.1""","error_message:""Network is unreachable""","error_type:""network_error""","root_cause:""DNS or internet connectivity issue.""","remediation_steps:""Check network connectivity and DNS configuration.""","correct_command:""john 192.168.1.1""","tool:""netcat""","difficulty:""advanced""}",,,
"{""command"":""john 192.168.0.10""","error_message:""Temporary failure resolving""","error_type:""network_error""","root_cause:""DNS or internet connectivity issue.""","remediation_steps:""Check network connectivity and DNS configuration.""","correct_command:""john 192.168.0.10""","tool:""gobuster""","difficulty:""beginner""}",,,
"{""command"":""systemctl start repo.git""","error_message:""Permission denied""","error_type:""permission_error""","root_cause:""The command requires elevated privileges.""","remediation_steps:""Run the command with sudo or switch to root.""","correct_command:""sudo systemctl start repo.git""","tool:""dirsearch""","difficulty:""beginner""}",,,
"{""command"":""python3 -m http.server 192.168.0.10""","error_message:""command not found""","error_type:""command_not_found""","root_cause:""The command is misspelled or not installed.""","remediation_steps:""Verify the command spelling or install the required tool.""","correct_command:""python3 -m http.server 192.168.0.10""","tool:""john""","difficulty:""intermediate""}",,,
"{""command"":""hashcat -m 0 apache2 rockyou.txt""","error_message:""library not found""","error_type:""dependency_error""","root_cause:""A required dependency is not installed.""","remediation_steps:""Install the missing dependency using pip or apt.""","correct_command:""hashcat -m 0 apache2 rockyou.txt""","tool:""ssh""","difficulty:""beginner""}",,,
"{""command"":""python3 -m http.server http:\/\/example.com""","error_message:""Permission denied (publickey","password)""","error_type:""authentication_error""","root_cause:""Invalid credentials or authentication configuration.""","remediation_steps:""Verify username", password," or SSH keys.""","correct_command:""python3 -m http.server http:\/\/example.com""","tool:""wireshark""","difficulty:""advanced""}"
